Time,200
12/13/2023 13:10,1.64 K
12/13/2023 13:10,1.64 K
12/13/2023 13:10,1.70 K
12/13/2023 13:10,1.70 K
12/13/2023 13:10,1.71 K
12/13/2023 13:11,1.71 K
12/13/2023 13:11,1.70 K
12/13/2023 13:11,1.67 K
12/13/2023 13:11,1.67 K
12/13/2023 13:11,1.78 K
12/13/2023 13:11,1.78 K
12/13/2023 13:11,1.78 K
12/13/2023 13:11,1.72 K
12/13/2023 13:11,1.72 K
12/13/2023 13:11,1.72 K
12/13/2023 13:11,1.72 K
12/13/2023 13:11,1.72 K
12/13/2023 13:11,1.71 K
12/13/2023 13:11,1.71 K
12/13/2023 13:11,1.65 K
12/13/2023 13:11,1.65 K
12/13/2023 13:11,1.65 K
12/13/2023 13:11,1.72 K
12/13/2023 13:11,1.72 K
12/13/2023 13:11,1.67 K
12/13/2023 13:11,1.67 K
12/13/2023 13:11,1.67 K
12/13/2023 13:11,1.72 K
12/13/2023 13:11,1.72 K
12/13/2023 13:11,1.68 K
12/13/2023 13:11,1.68 K
12/13/2023 13:11,1.68 K
12/13/2023 13:11,1.74 K
12/13/2023 13:11,1.74 K
12/13/2023 13:11,1.54 K
12/13/2023 13:12,1.54 K
12/13/2023 13:12,1.54 K
12/13/2023 13:12,1.87 K
12/13/2023 13:12,1.87 K
12/13/2023 13:12,1.94 K
12/13/2023 13:12,1.94 K
12/13/2023 13:12,1.94 K
12/13/2023 13:12,1.72 K
12/13/2023 13:12,1.72 K
12/13/2023 13:12,1.70 K
12/13/2023 13:12,1.70 K
12/13/2023 13:12,1.70 K
12/13/2023 13:12,1.71 K
12/13/2023 13:12,1.71 K
12/13/2023 13:12,1.70 K
12/13/2023 13:12,1.70 K
12/13/2023 13:12,1.70 K
12/13/2023 13:12,1.71 K
12/13/2023 13:12,1.71 K
12/13/2023 13:12,1.69 K
12/13/2023 13:12,1.69 K
12/13/2023 13:12,1.69 K
12/13/2023 13:12,1.72 K
12/13/2023 13:12,1.72 K
12/13/2023 13:12,1.72 K
12/13/2023 13:12,1.72 K
12/13/2023 13:12,1.72 K
12/13/2023 13:12,1.73 K
12/13/2023 13:12,1.73 K
12/13/2023 13:12,1.68 K
12/13/2023 13:13,1.68 K
12/13/2023 13:13,1.68 K
12/13/2023 13:13,1.71 K
12/13/2023 13:13,1.71 K
12/13/2023 13:13,1.71 K
